name,address,rating,types,review_count,reviews,location_searched,place_type_searched
Whole Foods Market,"1095 6th Ave, New York, NY 10036, USA",4.3,"grocery_store, liquor_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'From a traveler’s perspective, am just excited to revisit Whole Foods again. Same vibe with higher price tags. First floor sells grab&go foods and second floor sells hot meals. The sprits section can be better but won’t complain.\n\nThere are a lot of security guards near the entrance area. Overall a nice place to have in the middle of Manhattan.', 'languageCode': 'en'}, {'text': 'When I’m in the city I go to whole foods for my needs, I love their butchery counter that has very fresh meat. The vegetables are amazing as well, the hot bar has a wide variety of food though I wish they would change it up sometimes.\n\nWhen you buy flowers from here they can make you a pretty bouquet 💐 free of charge. Prime members get good deals throughout the store.\n\nThe only aggravating thing is that customer service desk that’s supposed to serve as a till never is open or available. They always just send you to the regular checkout counter. I was buying flowers the other day and they refused to let me pay for them there which is closer to the florist department. Whole Foods can make this process more efficient.', 'languageCode': 'en'}, {'text': 'Whole Foods Market on 6th Avenue is a great place for grocery shopping, offering a wide variety of fresh fruits and vegetables that are always well-stocked and of high quality. Prices are reasonable for the freshness and quality you get, and the store is clean, organized, and easy to navigate, making the shopping experience enjoyable.', 'languageCode': 'en'}, {'text': 'The food bar is so fresh and there’s a lot of variety. Definitely a good choice for healthy lunch, and the top floor seating has a great view\nHowever, there is some cons.\n\nBathroom line is very full because of the location. Checkout can also be a hassle during busy hours because of the lack of employees, at least during the times I went.\n\nBut overall a great place to get food and buy a few grocery items. Just needs organizing the people traffic especially during busy hours.', 'languageCode': 'en'}, {'text': 'I’m truly surprised at their inability to replenish their stocks. Are we already facing a supply crisis? For the last three days they haven’t replenished their stocks. I have been going daily to buy a chocolate cereal but it’s not there. In fact, every day the shelves get more and more empty without being replenished. It’s truly pathetic that in the middle of one of the most busiest commercial and tourist spots in the country, we have such shortages.', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Trader Joe's,"675 6th Ave, New York, NY 10010, USA",4.6,"grocery_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'Artistic balloons, face painting for memorable birthdays and events @thecolorcrew_nyc and thecolorcrew-nyc Artistic and reliable party entertainment. I love the unique and detailed face painting- the kids were enchanted. The balloons were ridiculously elaborate- crowned, super hero’s, botanical and princesses. Well worth the price for entertainment as guests were absorbed watching the Color Crew make the magic.', 'languageCode': 'en'}, {'text': 'I was never a big Trader Joe’s fan. I always thought that their things were kind of too generic. I was dead wrong. This particular store on 6th and 21st changed my view. After trying many different things from here over time, I’m all in! I really like this place. Although this one is a very small store, it’s got a lot of great things at decent prices. The produce section is pretty good, as to is the frozen foods and meat departments. The bread area is great, with lots of interesting things.\n\nExpect a very long checkout line most of the time, but it moves quickly. The staff is very friendly and the place is nice and clean. What’s not to like when you combine that with pretty good prices and selection? This place is a winner. Check it out if you’re in the neighborhood.', 'languageCode': 'en'}, {'text': 'I just love Trader Joe’s. There’s always something seasonal to buy. Look at these Fall leaf shaped and coloured corn tortilla chips for example!', 'languageCode': 'en'}, {'text': 'This Trader Joe’s in Chelsea is a great spot for affordable, quality groceries in Manhattan. The selection of private-label products, snacks, and fresh items is excellent, and the staff is friendly and helpful even during busy hours.\n\nThe store does get very crowded, especially in the afternoons and on weekends, with narrow aisles and long checkout lines. Visiting early in the morning makes for a much more relaxed shopping experience.\n\nOverall, a solid Trader Joe’s with fair prices and good quality, just not ideal if you’re in a hurry.', 'languageCode': 'en'}, {'text': 'Finally managed to visit one of their outlets, albeit a smaller one along 6th Avenue. Fruits, flowers, vegetables and cheese selections were incredible, looked so super fresh and at reasonable discounts/prices. The queue moves efficiently here and it’s relatively easy to identify and locate items across the store. All the staff are incredibly nice and friendly. Great place to shop for all your essential items, dailies, household, perishables and more.', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Trader Joe's,"200 E 32nd St, New York, NY 10016, USA",4.5,"grocery_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'Trader Joe’s\n📍 200 E 32nd Street, New York, NY 10016\n\nTrader Joe’s at 200 E 32nd St is a great store with fresh fruits, vegetables, dry fruits, snacks, and groceries at reasonable prices. The staff are friendly and helpful. It can get crowded at busy times, but overall it’s a convenient place for quality shopping.', 'languageCode': 'en'}, {'text': 'I love Trader Joe’s.  My son just moved to the neighborhood so I wanted to stock his fridge. No place else can you get beautiful fresh flowers, fruits, vegetables, cheese and meat at reasonable prices.  Plenty of unique items too.  Nice assortment of spices and Condiments.  Stock up on seasonal items, they go fast.  Staff is always friendly, go out of their way to help and always with a smile.', 'languageCode': 'en'}, {'text': ""The store is spacious and has a wide variety of products. Although not necessarily the cheapest, most brands are available. Fresh and delicious strawberries, reasonably priced.\nThere were many customers queuing to check out (about 20-30 people, occupying an aisle). I don't know if it was good luck, but there were many cash registers working in the store (more than 10 were visible). The waiting time was about 10 minutes. The checkout speed was very fast, and the overall shopping experience was satisfactory."", 'languageCode': 'en'}, {'text': 'It can be very busy at that location at a certain time after work but the lines move very fast. I had my stuff ringed up by a young lady name Juanita and she was incredibly sweet and patient. She kept telling me to take my time and I laughed because I felt pressured to quickly put my stuff away. I thought that was incredibly kind because you can’t find that in most stores now they are ready to take the next customer and get you out. Definitely love how friendly everyone is there!', 'languageCode': 'en'}, {'text': ""Great customer service! Found everything I wanted and a few surprises...the rice & lentil onion rings are oh so delicious! Finally I can eat a healthier option! A gluten free snack that contains milk. I couldn't stop at one; They're all gone & I miss Trader Joe's too 🤩"", 'languageCode': 'en'}]",Midtown Manhattan,supermarket
H Mart,"38 W 32nd St 2nd floor, New York, NY 10001, USA",4.3,"asian_grocery_store, supermarket, grocery_store, food_store, food, point_of_interest, store, establishment",5,"[{'text': 'What a fantastic grocery store! The meat section and selection is top quality! The variety of produce is excellent and very fresh! I live in the Midwest and how I would love to have an H Mart in my neighborhood! Be sure and  visit the upstairs for a quick meal and more great shopping deals.', 'languageCode': 'en'}, {'text': 'I love Hmart. I go all the time if I can but I prefer the Fort Lee NJ one bc they always have the best prices and variety and stuff I love even if it’s not the biggest in size like Edison NJ. So w that said this location is great and in the heart of Korea town on 32nd street between Broadway and 5th avenue but bc the rent is so high as you can imagine the Manhattan commercial rental rates…the food prices are high unless there’s a sale. It’s not terrible bc it’s definitely not cheap. But if you are in Manhattan and need some authentic Korean grocery items Hmart is the gold standard. Hmart is also known to be very clean and their produce and fruit and vegetables to be washed and presentable and the store is always kept as clean as possible with all that foot traffic so you don’t smell anything bad. Koreans are obsessed about clean and I am not complaining. I really appreciate it. I would rather buy my meat and veggies and fruit from a place that values cleanliness and organization.', 'languageCode': 'en'}, {'text': 'Visited H Mart in Koreatown NYC and had a great time exploring. We had dinner at a Korean BBQ restaurant. I tried the candied grapes and strawberries—sweet, crunchy, and totally addictive! I also browsed one of the beauty stores inside with popular TikTok skincare and makeup finds. Perfect spot for Korean snacks, fresh groceries, and trendy beauty picks—all in the heart of Midtown.', 'languageCode': 'en'}, {'text': 'Hmart on 32nd street is a ripoff market.  I was going to buy a chill flakes that was made in Korean.  As you can see the picture on the shelf the label price was $7.99.  And when I going to check out the chili flakes, the price  came out $26.99.  Which was a ridiculous price difference.  I told the cashier and  he wasn’t polite nor friendly.  He told me to speak to the manager.  The manager, who can’t speak English and was very rude too. If you goes to Wholefoods or shop rite they will honor the price was showing on the shelf, but not in H mart market.  For sure, I will never go back again.  I found other Hmart same item and price is lower than 32nd street.  Plus Hmart should have a manager, who spoke a better English!', 'languageCode': 'en'}, {'text': 'I am very disappointed with this H-Mart (Korea Town). They sold me an expired mochi package. I got it from the front display table, so I trusted it was fresh. I didn’t check the date until after I already ate it. Why are they selling and charging customers for expired items? It feels like the store only focuses on money and not on customer safety. This is unacceptable and very careless. Please check your products before selling to people.\n\nI bought it on September month.\nYou can check the date (2025/06/26) in the picture.\nWhy are you guys still kept it on the front display table and sold it to customers?', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Whole Foods Market,"10 Columbus Cir Ste Sc101, New York, NY 10019, USA",4.3,"grocery_store, liquor_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'I rarely writw reviews on google map but this time I have said they really deserve it. This is the best whole foods in Manhattan. Peter (I think that was his name) helped me carrying my bags upstairs, he was so kind and joyfull! He teamed with Mirlene (I made sure I had their name because thwy were so nice really) I spent every week $$$ because variety of options, quality of products and so many hard workers keeping everything nice and organize for customers.\nTop notch', 'languageCode': 'en'}, {'text': 'This Whole Foods Market is always one of the busiest spots—especially the elevator, which is constantly packed with people coming and going. The in-store restaurant is equipped with restrooms, and the entire market is always buzzing with activity, so expect to wait in line no matter when you go. That said, one of the best things to do in the summer is grab some fresh sushi and a cold soda here, then head to Central Park for the perfect picnic.', 'languageCode': 'en'}, {'text': 'I recently visited this Whole Foods and had an excellent experience. I picked up some Whole Grain Checkers cereal and a vegan chocolate bar, both of which were exactly what I was looking for. The store was well-stocked and organized, which made shopping a breeze.\n\nA special shout-out to John, the cashier, who was wearing a ""Cashier of 2019"" badge—he’s still doing an amazing job! His friendly demeanor and efficient service made the checkout process smooth and quick. It\'s rare to see such consistent quality in service, and John’s professionalism is definitely appreciated.\n\nOverall, this store always provides a great shopping experience, and I’ll certainly be back. Highly recommend!', 'languageCode': 'en'}, {'text': ""If you read past Google reviews, you'll see customers reporting RACISM, RACIAL PROFILING, AND DISCRIMINATION at this store. The pattern is clear, and the manager’s dismissive attitude is part of the problem. That’s why these experiences continue.\n\nI reported a serious incident involving mistreatment that strongly appeared to be racist and discriminatory by an employee in the seafood department. What shocked me most was not only the behavior of the employee, but also the store’s refusal to take any meaningful action or even acknowledge wrongdoing. According to the manager, KUNHO, I will receive neither an apology from the employee nor any follow-up from the store. He questioned whether my experience was real but wouldn’t even attempt to verify what happened while I was still physically present in the store. When I offered to wait so he could check the camera, he told me I could wait as many hours as I liked, and he still wouldn’t check it because he was “very busy.” What kind of manager responds like that? Shame on you, KUNHO.\n\nTo the employee: If you do not want to interact with customers respectfully, why not work at a place where you do not need to deal with customers? That way, you will have no opportunity to mistreat customers, and more people will be happy.\n\nTo the store manager KUNHO: I hope you and your family will never be mistreated like that in any place by any employee like yours, and if that unfortunately happens, the issue will be resolved effectively by a good store manager—not someone like you."", 'languageCode': 'en'}, {'text': 'I personally feel like this location is the easiest to find items that are well priced. Compared to the SoHo location for example, there are less rows of empty shelves.\nThe line moves quickly here as well. The major downside is the seating area.\nA few years back this seating area had a coffee shop and juice bar but that’s been replaced by an Amazon pick up center. The seating is minimal in my opinion, but that could be because so many other locations have more space.', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Whole Foods Market,"226 E 57th St, New York, NY 10022, USA",4.2,"grocery_store, liquor_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'Whole Foods Market – East 57th Street, New York\n\nThis Midtown East Whole Foods is clean, modern, and very convenient for nearby residents and office workers. The store offers fresh produce, bakery, groceries, and prepared foods with Amazon Prime deals available. However, the aisles are a bit narrow and it can get crowded during peak hours. Prices are on the higher side, as expected at Whole Foods, and the selection is slightly smaller compared to larger locations. Overall, it’s a good option for quality groceries and quick meals, but best to shop during off-peak times for a smoother experience.', 'languageCode': 'en'}, {'text': 'Reporting on my return to the Amazon Return Center at Whole Foods on east 57th st.  Reported return on line at Amazon and the took my wife’s two pants to this center to process. The return center is upstairs next to the coffee stand. The guy on duty today was very pleasant and efficient.  Waited a few minutes as two people were in line. Total time in and out was 15 minutes.  This is why so many people love to shop from Amazon on line - returns are so easy.', 'languageCode': 'en'}, {'text': 'Amazon return times can be very long due to lines (and they make you go upstairs). If you go after work, be prepared for it to take  20-25 minutes to process your Amazon return.\nI got a reply from Whole Foods telling me to visit a certain website to give more feedback. But even that just put me in a queue for an agent who never came. I feel like Amazon does not value my time at all and I will try to shop there less in the future as a result. The store does not manage their lines well for returns and there was not good signage. One of the lines was much longer than the other one because one of them had staff support (but I didn’t notice that at first).  It’s a huge inconvenience in nyc to have to get to a Whole Foods, and on top of that it’s on the second floor (with stairs not an elevator/escalator), and then insult to injury was the long line.', 'languageCode': 'en'}, {'text': 'I was not expecting the store to be that big. We did find everything we where looming for. Everything was fresh and good. We were able to use our canadian prime account to get the discount at the register. The staff were super nice with us.', 'languageCode': 'en'}, {'text': 'Very crowded, hard to find items with minimal labeling on the shelfs, items are moved frequently to different locations in the store, mainly self checkout, only few cashiers at the checkout lane. It is a supermarket that identifies as who knows what. Need to simplify.', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Whole Foods Market,"63 Madison Ave, New York, NY 10016, USA",4.5,"grocery_store, liquor_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'I have never really shopped in Whole Foods until I started to come to return my Amazon purchases. I decided to try out their croissants and then I saw they had sourdough bread. I tried both and I fell in love! I started to try their organic fruits, veggie salads, and just recently I finally bought food to go. I really liked their juicy rosemary chicken breast and their mozzarella creamy pasta. I also got my bf dark chocolate almonds and he liked them too! I honestly wish there were at least 2 Whole Foods in every borough so then customers wouldn’t have to travel to another borough! In the mean time I will just continue to shop in Manhattan.', 'languageCode': 'en'}, {'text': 'Let’s see the only thing I’m not rooting for at this location is the pricing for hot food and to me it’s a total ripoff system they have with this scale you place the food on . Now the mac and cheese is a 8. The soups are a 7 the  sides are and 8 overall you will not go wrong as far as taste is concerned . Myb once I tired the food and it seemed tasteless but overall I ate there with cash money by accident multiple times cuz it’s no reason I should pay that much in a supermarket for food even if I was a billionaire by choice cuz now I’m saving my money . If I can change the cheap box’s  and sizes for the food as well as prices would be my favorite store . Those chefs works hard . Now the supermarket always clean and busy . I would sit and eat and hope that adjustments are made cuz that was June 28 I realized this but everyone is diff I just feel the food buffet style as suggested and one day it did make me happy eating it', 'languageCode': 'en'}, {'text': ""While convenient and nicely situated, this Whole Foods doesn't give you the full stack of offerings you're used to from Whole Foods and it seems understocked. It's almost uninspiring to shop there, despite the pretty all-glass building.  Also, not sure what's going on with the roasted chicken that goes missing, since sometimes you can't even find any to buy... and the hot bar is more like a mess. The quality has definitely gone down ever since Amazon bought Whole Foods. It's a shame really, but that's the tea, I guess."", 'languageCode': 'en'}, {'text': ""Nice, clean, with decent selection, standard for whole foods. One other nice aspect about this location is that I have never had to wait in check out lines for more than 2-3 minutes; in fact majority of the time I don't have to wait at all"", 'languageCode': 'en'}, {'text': '3rd time visiting this Whole Food for weekly supermarket runs. Ample choices, good produce selection, clean and spacious. Cashier service leaves a lot to be desired. If you need help with your groceries prepare not to get it. So, I recommend self checkout.', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Whole Foods Market,"250 7th Ave, New York, NY 10001, USA",4.2,"grocery_store, liquor_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'Shopping at Whole Foods Market is interesting for me as I like to see all the aisles. This large location is on Seventh Avenue in Chelsea. As I enter, I am in the large vegetable and fruit section. Both organic and conventional varieties are available. Naturally organic prices are much higher. The fresh seafood and meat sections are next. Occasionally I get a salmon cake that I can sauté. In the middle of the store is the prepared foods and salad bar which is by weight. The cheese section is also there. Plant based pizzas and cauliflower crusts are in refrigerated cases. A variety of domestic and international butters are here priced decently that sometimes I can afford to buy them. Egg cartons are still rationed at three per customer due to the avian flu that had started a while back. These eggs range in price from $7 upwards. I don’t buy them as they are too pricey for me. My favorite section are the yogurts and when they are on sale I like to get Ellenos mango or passion fruit. Valley Shepherd Farm is another yogurt brand that I like a lot. Aisles are filled with teas, coffees, grains and the usual varieties of foods most supermarkets have. The body area is colorful and I like browsing here for deodorants on sale and the occasional face cleanser. One cannot forget the ice cream selections of which there are many. I am partial to Jeni’s Splendid ice cream in Wildberry Lavender and Dark Chocolate. Freshly baked breads, cakes and cookies are here too. I like the “Last Chance”where items are heavily discounted. One can either go to the self checkout machines or to the cashier. Magazines and temptations are always as one is waiting to pay. One needs self control not to go berserk! Two clean restrooms are here too which is convenient. Customer service is good with everyone trying to help you. Security guards are also manning the store and the entrance to avoid any incidents.', 'languageCode': 'en'}, {'text': 'If you’re looking for a top-tier supermarket with an exceptional fresh counter, this place is a hidden gem. The seafood, meat, and specialty products are of outstanding quality, making it a go-to destination for food lovers and home chefs alike.\n\nThe seafood section is particularly impressive—always fresh, well-stocked, and offering a wide variety of fish and shellfish. Whether you’re looking for wild-caught salmon, fresh oysters, or high-quality shrimp, you’ll find it here. The staff is knowledgeable and can even provide recommendations on the best ways to prepare your selection.\n\nThe meat counter is just as remarkable, offering premium cuts of beef, lamb, and poultry. The butchers are skilled and happy to assist with custom cuts or special requests. You can really taste the quality, whether you’re grilling a steak or slow-cooking a roast.\n\nBeyond seafood and meat, the store boasts an excellent selection of specialty products, from gourmet cheeses to rare international ingredients. The variety ensures that you can find everything you need for a high-end meal at home.\n\nCustomer service is top-notch, with friendly and helpful staff always ready to assist. The store is clean, well-organized, and makes shopping a pleasant experience.\n\nIf quality and freshness are your priorities, this supermarket is a must-visit. Highly recommended!', 'languageCode': 'en'}, {'text': ""It was my first and last time in this supermarket.\nThe employees were incredibly kind.\nAnd the items for sale are of excellent quality.\nI really liked the supermarket\nI would like to shop here more often\nBut I think it's a bit far from Germany."", 'languageCode': 'en'}, {'text': ""This is a sizable Whole Foods Market with a very good hot and cold self-service food area. Fruits and vegetables are also fresh, the meat section is serving up fresh cuts while keeping the display case filled with additional freshly cut options. The lines tend to move fairly quickly no matter how long the line may be and there's always someone at the front of the line assisting customers as they see their register number being called."", 'languageCode': 'en'}, {'text': ""I always love a Whole foods store, but this isn't my favourite one in the area.\nI didn't find it to be laid out as well as the other stores and had to wait a while for the 'qualified person' to beat up my pizza slice."", 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Whole Foods Market,"450 W 33rd St, New York, NY 10001, USA",4.4,"grocery_store, liquor_store, supermarket, food_store, food, market, point_of_interest, health, store, establishment",5,"[{'text': 'Fresh Salad Bar and Hot Foods to go.\n\nI really enjoyed the big selections of fresh salad and hot roast chickens that came as a whole one or 1/2.\n\nThere was ready to eat macaroni cheese.\nHot chicken bites with chilli sauce.\nChicken wings, potato wedges, Chicken thigh pieces, cooked vegetables all very nice.\nWe had sushi on other days to try as much foods as possible!\n\nThere is just so much more…', 'languageCode': 'en'}, {'text': 'They have everything you need from supermarket. Ready to eat food, hot and cold serve also cooking station with sushi bar. They have seating area for you too. Enjoy!', 'languageCode': 'en'}, {'text': 'Perfection of a grocery store-restaurant hybrid concept.\nUltramodern indoor & outdoor doors dining areas with inspiring views.\nSteps away from the High Line, Mall & much more.\n5 stars for the helpful & courteous staff.\nMust be a Flagship location.?\nINCREDIBLE SELECTION😎', 'languageCode': 'en'}, {'text': 'Unacceptable Experience – Found a Worm in My Salad\n\nI’ve always trusted Whole Foods for quality and cleanliness, but this experience was beyond disappointing. I purchased a salad from the salad bar and discovered a worm in my food. This is absolutely unacceptable for any establishment, especially one that promotes such high standards and premium pricing.\n\nFood safety and hygiene should never be compromised. It’s unsettling to think this could happen, and it makes me question the store’s food handling and inspection procedures. I hope Whole Foods takes immediate action to ensure this doesn’t happen to anyone else.', 'languageCode': 'en'}, {'text': 'One of the nicest Whole Foods stores I’ve been in. I stopped in here when I was meeting my son for lunch at one Manhattan West. I thought it was a small store, but it just keeps going and going this store is big. It’s beautiful. Has everything you need a full sushi bar, premade sandwiches, a sandwich counter, a hot bar and plenty of seating in case you want to eat lunch in the store. Such a great experience.', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
Katagiri Japanese Grocery,"370 Lexington Ave, New York, NY 10017, USA",4.7,"asian_grocery_store, supermarket, grocery_store, food_store, food, point_of_interest, store, establishment",5,"[{'text': ""Great Japanese grocery store! They have an onigiri station and ramen station making fresh food daily! They also have a great selection of other snacks, drinks, and other cooking items. I stopped by for some of their fresh sushi and onigiri, very affordable pricing. It gets quite busy during lunch rush so just a word of caution. Don't wait too late in the day to stop by for fresh food because they might run out of your favorite. Get here early!!"", 'languageCode': 'en'}, {'text': ""Just discoverthis japanese market near my job! Great customer service and really affordable prices vs other Asian markets. They also have ramen! Can't wait to come back and try more things!"", 'languageCode': 'en'}, {'text': 'One of the best Japan groceries in NY! they have good bento and fresh raw/cooked sushi. It has (a few) indoor bar seating for enjoying the food and restroom for customers.', 'languageCode': 'en'}, {'text': 'Love coming here especially before the train for a little snack. Great quality Japanese food. Always tend to get imagery and perf little treat. Quick service  and tons always available', 'languageCode': 'en'}, {'text': 'Japanese groceries looks pretty good and of good quality. The prepared food one level lower. Especially tonkotsu ramen. In American standard average in Japanese even lower', 'languageCode': 'en'}]",Midtown Manhattan,supermarket
